genus,p,mean_H,mean_CRC,direction,q
Subdoligranulum,0.8063494748109221,0.0023504038606376185,0.001982983733597284,H,0.905288060677293
Anaerosporobacter,0.8147509560616255,0.00021197317720548234,0.00012864836080860584,H,0.9091428351175456
Coprobacillus,0.8313383183998488,0.0003094501551685032,0.00022049801573270067,H,0.922029771316196
Defluviitalea,0.8470263691572999,6.615275429817409e-05,7.895388135678706e-05,CRC,0.9226698813863955
Allobaculum,0.847041202584232,5.966382160236259e-05,1.0229670669580796e-05,H,0.9226698813863955
Anaerofustis,0.8378836623105679,9.166981599598474e-05,8.272649519727451e-05,H,0.9226698813863955
Blautia,0.8657670987240083,0.15107255341265746,0.15687922991602135,CRC,0.9274178589698501
Clostridium_III,0.8662562087570527,0.0007007104999680081,0.0006060457909111149,H,0.9274178589698501
Holdemania,0.8666035731357615,5.5200321350727813e-05,4.437898525444388e-05,H,0.9274178589698501
Leuconostoc,0.9108623261633777,4.1849284761644134e-05,7.54287373662701e-05,CRC,0.9581214317566012
Sarcina,0.9068930808325184,4.583352300775778e-06,4.874625645271784e-05,CRC,0.9581214317566012
Finegoldia,0.9110007056046372,2.591932689904233e-06,1.560333356117784e-06,H,0.9581214317566012
Erysipelotrichaceae_incertae_sedis,0.9198494231086414,0.0035549970076709566,0.002678289830850916,H,0.9594449353581623
Acetobacterium,0.9279877243628127,6.027483662068128e-05,2.716776549295738e-05,H,0.9594449353581623
Bacillus,0.9242143648733774,1.8510515097646988e-05,9.412332612815292e-06,H,0.9594449353581623
Saccharibacteria_genera_incertae_sedis,0.9442204236733105,3.6435399399891914e-06,4.894360259107633e-06,CRC,0.9645102255887344
Marvinbryantia,0.9486985825462961,8.036164092756624e-05,2.1183741855932696e-05,H,0.9645102255887344
Adlercreutzia,0.9406698113502303,2.5663218548271257e-06,6.386364702032161e-07,H,0.9645102255887344
Acetivibrio,0.9556284963895783,6.87769048724719e-05,4.772902324492903e-05,H,0.9661879272889107
Dietzia,0.9649995432924425,5.3543067455873936e-06,3.6734996320970624e-06,H,0.9703017385852581
Selenomonas,0.9972304412809079,1.873134361845951e-05,2.1192116841873582e-05,CRC,0.9972304412809079
